Procedure,Review Flag,Cases (Procedure),Annualized Deviation (Procedure),% Outside ±30 Min (Procedure)
"CRANIOTOMY, WITH IMAGING GUIDANCE",Other review contexts,31,509,77.4%
"CRANIOTOMY, WITH MICROVASCULAR DECOMPRESSION",Other review contexts,32,167,34.4%
"CRANIOTOMY, WITH NEOPLASM EXCISION",Higher exposure / lower reliability,265,4089,84.5%
"CREATION, AV FISTULA",Other review contexts,434,3719,58.3%
"CREATION, AV FISTULA, USING VEIN TRANSPOSITION TECHNIQUE",Higher exposure / lower reliability,116,1124,62.9%
"CREATION, COLOSTOMY OR ILEOSTOMY, LAPAROSCOPIC",Other review contexts,114,812,43.9%
"CREATION, COLOSTOMY, DIVERTING",Other review contexts,30,190,53.3%
"CREATION, GASTRIC BYPASS, LAPAROSCOPIC, WITH ROUX-EN-Y GASTROENTEROSTOMY",Other review contexts,50,434,58.0%
"CRYOABLATION, MASS, KIDNEY",Other review contexts,33,310,63.6%
"CRYOTHERAPY, PROSTATE",Other review contexts,79,431,31.6%
CYSTECTOMY,Other review contexts,38,506,57.9%
CYSTOLITHOLAPAXY,Other review contexts,63,595,55.6%
"CYSTOPROSTATECTOMY, WITH ILEAL CONDUIT CREATION",Higher exposure / lower reliability,57,806,71.9%
CYSTOSCOPY,Other review contexts,125,1348,45.6%
"CYSTOSCOPY, + URETEROSCOPY, RETROGRADE PYELOGRAM, HOLMIUM LASER LITHOTRIPSY, + PERCUTANEOUS NEPHROLITHOTOMY",Higher exposure / lower reliability,341,3241,62.8%
"CYSTOSCOPY, WITH RETROGRADE PYELOGRAM AND URETERAL STENT INSERTION",Other review contexts,286,1229,19.9%
"CYSTOSCOPY, WITH RETROGRADE PYELOGRAM, URETEROSCOPY, URINARY CALCULUS LASER LITHOTRIPSY, + STENT INSERT",Higher exposure / lower reliability,524,4143,58.8%
"CYSTOSCOPY, WITH SUPRAPUBIC CATHETER INSERTION",Other review contexts,89,728,27.0%
"CYSTOSCOPY, WITH URETERAL STENT INSERTION",Other review contexts,58,263,19.0%
"CYSTOSCOPY, WITH URETERAL STENT REPLACEMENT",Other review contexts,38,132,18.4%
"CYSTOSTOMY, SUPRAPUBIC",Other review contexts,36,350,25.0%
"CYSTOURETEROSCOPY, WITH RETROGRADE PYELOGRAM AND URETERAL STENT INSERTION",Other review contexts,123,741,26.0%
"DA VINCI SI- PROSTATECTOMY, RADICAL, ROBOT-ASSISTED",Other review contexts,55,359,49.1%
"DA VINCI XI- PROSTATECTOMY, RADICAL, ROBOT-ASSISTED",Other review contexts,441,3933,50.3%
"DA VINCI XI- PROSTATECTOMY, SIMPLE, ROBOT-ASSISTED",Other review contexts,33,319,69.7%
DA VINCI XI- REPAIR INGUINAL HERNIA,Other review contexts,40,303,52.5%
"DEBRIDEMENT, WITH SPLIT-THICKNESS SKIN GRAFT APPLICATION",Higher exposure / lower reliability,704,9275,72.6%
"DEBRIDEMENT, WOUND",Other review contexts,440,3524,50.5%
"DECOMPRESSION AND FUSION, SPINE, CERVICAL, ANTERIOR APPROACH",Higher exposure / lower reliability,97,1157,77.3%
"DECOMPRESSION, SPINE, CERVICAL, ANTERIOR APPROACH",Other review contexts,104,963,51.0%
"DECOMPRESSION, SPINE, CERVICAL, POSTERIOR APPROACH",Higher exposure / lower reliability,46,646,69.6%
"DECOMPRESSION, SPINE, LUMBAR",Higher exposure / lower reliability,238,1913,58.8%
"DECOMPRESSION, SPINE, LUMBAR, POSTERIOR APPROACH, WITH POSTERIOR COLUMN FUSION",Other review contexts,35,419,62.9%
DILATION AND CURETTAGE,Other review contexts,320,940,11.3%
"DILATION AND EVACUATION, UTERUS",Other review contexts,880,2780,14.0%
"DISCECTOMY, CERVICAL, ANTERIOR, NEURO",Other review contexts,31,375,61.3%
"DISCECTOMY, INTERVERTEBRAL, WITH LAMINECTOMY",Other review contexts,49,353,28.6%
"DISCECTOMY, SPINE, CERVICAL, ANTERIOR APPROACH, WITH SPINAL FUSION USING INSTRUMENTATION IF INDICATED",Other review contexts,55,315,45.5%
"DISSECTION, NECK, MODIFIED RADICAL",Higher exposure / lower reliability,95,1140,70.5%
"ECHOCARDIOGRAM, TRANSESOPHAGEAL, INTRAOPERATIVE",Other review contexts,59,409,27.1%
EGD (ESOPHAGOGASTRODUODENOSCOPY),Other review contexts,434,2203,32.9%
"EGD, WITH BIOPSY",Other review contexts,410,2715,39.8%
"EGD, WITH GASTROJEJUNOSTOMY TUBE INSERTION, PERCUTANEOUS",Other review contexts,129,490,18.6%
"EGD, WITH STENT INSERTION",Other review contexts,51,176,19.6%
"ELECTROPHYSIOLOGY STUDY, WITH ARRHYTHMOGENIC FOCUS ABLATION, FOR ATRIAL FIBRILLATION",Other review contexts,43,511,76.7%
"EMBOLECTOMY, ARTERY",Other review contexts,44,532,54.5%
"EMBOLIZATION, BLOOD VESSEL, USING COIL",Higher exposure / lower reliability,133,1587,69.9%
"ENDARTERECTOMY, CAROTID",Other review contexts,66,607,53.0%
"ENDARTERECTOMY, FEMORAL",Other review contexts,36,595,83.3%
"ENDOSCOPY, NASAL",Other review contexts,62,579,66.1%
ERCP (ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY),Other review contexts,150,724,27.3%
"ESOPHAGOMYOTOMY, LAPAROSCOPIC, HELLER",Other review contexts,33,261,51.5%
EXAM UNDER ANESTHESIA,Other review contexts,140,1477,45.0%
"EXAM UNDER ANESTHESIA, ANORECTAL",Other review contexts,558,2105,18.8%
"EXAM UNDER ANESTHESIA, GYNECOLOGIC",Other review contexts,181,1940,49.7%
"EXAM UNDER ANESTHESIA, RECTUM, WITH SETON PLACEMENT",Other review contexts,45,108,8.9%
"EXAM UNDER ANESTHESIA, VAGINA",Other review contexts,53,322,24.5%
"EXCISION, CYST, OVARY, LAPAROSCOPIC",Higher exposure / lower reliability,80,642,58.8%
"EXCISION, EXTERNAL EAR",Higher exposure / lower reliability,39,970,89.7%
"EXCISION, LESION",Other review contexts,35,278,62.9%
