Procedure,Cases (Procedure),% Outside ±30 Min (Procedure),Historical Benchmark (min),Review Context
"LAMINECTOMY, DECOMPRESSIVE",43,76.7%,243,"Review variability / low exposure, unreliable"
"PROSTATECTOMY, ROBOT-ASSISTED",64,76.6%,401,"Prioritize review / high exposure, unreliable"
RHYTIDECTOMY,47,76.6%,429,"Review variability / low exposure, unreliable"
"IRRIGATION AND DEBRIDEMENT, HIP, WITH REMOVAL OR INSERTION OF HIP SPACER",34,76.5%,295,"Review variability / low exposure, unreliable"
"LAPAROSCOPY, DIAGNOSTIC, WITH EXPLORATORY LAPAROTOMY AND LIVER RESECTION",34,76.5%,202,"Prioritize review / high exposure, unreliable"
"ORIF, FRACTURE, CALCANEUS",51,76.5%,186,"Review variability / low exposure, unreliable"
"AMPUTATION, ABOVE KNEE",59,76.3%,181,"Prioritize review / high exposure, unreliable"
"LAMINECTOMY, THORACIC OR LUMBAR, POSTERIOR APPROACH",76,76.3%,258,"Prioritize review / high exposure, unreliable"
"PROCTOCOLECTOMY, TOTAL, LAPAROSCOPIC, ROBOT-ASSISTED",67,76.1%,405,"Prioritize review / high exposure, unreliable"
WHIPPLE PROCEDURE,67,76.1%,559,"Prioritize review / high exposure, unreliable"
"CLOSED REDUCTION, FRACTURE, PELVIS",96,76.0%,160,"Prioritize review / high exposure, unreliable"
"CRANIOTOMY, FOR ANEURYSM OR AVM CLIPPING, WITH IMAGING GUIDANCE",58,75.9%,385,"Prioritize review / high exposure, unreliable"
"REPAIR, HERNIA, VENTRAL",54,75.9%,231,"Prioritize review / high exposure, unreliable"
"ORIF, FRACTURE, ACETABULUM",155,75.5%,300,"Prioritize review / high exposure, unreliable"
"CLOSURE, COLOSTOMY, LAPAROSCOPIC",114,75.4%,245,"Prioritize review / high exposure, unreliable"
"LAPAROTOMY, EXPLORATORY",903,75.4%,188,"Prioritize review / high exposure, unreliable"
"ANGIOGRAM, WITH ANGIOPLASTY",141,75.2%,202,"Prioritize review / high exposure, unreliable"
"RESECTION, RECTUM, LOW ANTERIOR, ROBOT-ASSISTED",114,74.6%,342,"Prioritize review / high exposure, unreliable"
"THYROIDECTOMY, TOTAL",298,74.5%,223,"Prioritize review / high exposure, unreliable"
"REPLACEMENT, AORTIC VALVE",82,74.4%,401,"Prioritize review / high exposure, unreliable"
"ANGIOGRAM, LOWER EXTREMITY, WITH ANGIOPLASTY",315,74.3%,188,"Prioritize review / high exposure, unreliable"
"HYSTERECTOMY, TOTAL, ABDOMINAL, WITH BILATERAL SALPINGO-OOPHORECTOMY",35,74.3%,222,"Review variability / low exposure, unreliable"
"SINUS SURGERY, ENDOSCOPIC",35,74.3%,192,"Review variability / low exposure, unreliable"
THORACOTOMY,35,74.3%,236,"Review variability / low exposure, unreliable"
"CRANIOTOMY, TRANSSPHENOIDAL APPROACH",31,74.2%,242,"Review variability / low exposure, unreliable"
MEDIAN STERNOTOMY,31,74.2%,352,"Review variability / low exposure, unreliable"
"NEPHRECTOMY, LAPAROSCOPIC",81,74.1%,272,"Prioritize review / high exposure, unreliable"
"VATS, WITH THORACOTOMY IF INDICATED",162,74.1%,206,"Prioritize review / high exposure, unreliable"
"RECONSTRUCTION, URETHRA",95,73.7%,300,"Prioritize review / high exposure, unreliable"
"REMOVAL, HARDWARE, LOWER EXTREMITY",133,73.7%,139,"Prioritize review / high exposure, unreliable"
"ORIF, FRACTURE, HUMERUS",208,73.6%,260,"Prioritize review / high exposure, unreliable"
"REMOVAL, HARDWARE, HIP",30,73.3%,159,"Review variability / low exposure, unreliable"
"REMOVAL, IMPLANT",77,72.7%,152,"Prioritize review / high exposure, unreliable"
"RESECTION, SMALL INTESTINE, LAPAROSCOPIC",44,72.7%,233,"Review variability / low exposure, unreliable"
"DEBRIDEMENT, WITH SPLIT-THICKNESS SKIN GRAFT APPLICATION",704,72.6%,162,"Prioritize review / high exposure, unreliable"
"HYSTERECTOMY, TOTAL, ABDOMINAL",146,72.6%,249,"Prioritize review / high exposure, unreliable"
"NEPHRECTOMY, RADICAL, LAPAROSCOPIC",84,72.6%,252,"Prioritize review / high exposure, unreliable"
"REPAIR, HERNIA, INCISIONAL",73,72.6%,266,"Prioritize review / high exposure, unreliable"
"ORIF, FRACTURE, FOOT",47,72.3%,151,"Review variability / low exposure, unreliable"
"FUSION, SPINE, LUMBAR AND LUMBOSACRAL, ANTERIOR APPROACH",54,72.2%,381,"Prioritize review / high exposure, unreliable"
"REPLACEMENT, MITRAL VALVE",50,72.0%,406,"Review variability / low exposure, unreliable"
"CYSTOPROSTATECTOMY, WITH ILEAL CONDUIT CREATION",57,71.9%,436,"Prioritize review / high exposure, unreliable"
"RESECTION, RECTUM, LOW ANTERIOR",32,71.9%,350,"Review variability / low exposure, unreliable"
"FUSION, SPINE, CERVICAL, ANTERIOR APPROACH",35,71.4%,267,"Review variability / low exposure, unreliable"
"FUSION, SPINE, XLIF, ANTERIOR RETROPERITONEAL APPROACH",56,71.4%,239,"Prioritize review / high exposure, unreliable"
"ORIF, FRACTURE, FEMUR",546,71.2%,207,"Prioritize review / high exposure, unreliable"
"IRRIGATION AND DEBRIDEMENT, UPPER EXTREMITY",181,70.7%,139,"Prioritize review / high exposure, unreliable"
THROMBECTOMY,58,70.7%,197,"Prioritize review / high exposure, unreliable"
ABDOMINOPLASTY,126,70.6%,352,"Prioritize review / high exposure, unreliable"
"NEPHRECTOMY, PARTIAL, ROBOT-ASSISTED, LAPAROSCOPIC",68,70.6%,330,"Prioritize review / high exposure, unreliable"
"ORIF, FRACTURE, RADIUS OR ULNA",68,70.6%,227,"Prioritize review / high exposure, unreliable"
"DISSECTION, NECK, MODIFIED RADICAL",95,70.5%,193,"Prioritize review / high exposure, unreliable"
"HYSTERECTOMY, ABDOMINAL, LAPAROSCOPIC",149,70.5%,283,"Prioritize review / high exposure, unreliable"
"LAPAROTOMY, EXPLORATORY, EMERGENT FOR ABDOMINAL TRAUMA",263,70.3%,184,"Prioritize review / high exposure, unreliable"
"REPAIR, AORTA, THORACIC, DESCENDING, ENDOVASCULAR",37,70.3%,229,"Prioritize review / high exposure, unreliable"
"REVISION, GASTRIC BYPASS, LAPAROSCOPIC",37,70.3%,200,"Review variability / low exposure, unreliable"
"EMBOLIZATION, BLOOD VESSEL, USING COIL",133,69.9%,229,"Prioritize review / high exposure, unreliable"
"ORIF, FRACTURE, TIBIA OR FIBULA",83,69.9%,221,"Prioritize review / high exposure, unreliable"
"LAMINECTOMY, SPINE, WITH NEOPLASM EXCISION",43,69.8%,307,"Prioritize review / high exposure, unreliable"
"DA VINCI XI- PROSTATECTOMY, SIMPLE, ROBOT-ASSISTED",33,69.7%,308,"Review variability / low exposure, unreliable"
"FUSION, SPINE, LUMBAR, INTERBODY",33,69.7%,359,"Review variability / low exposure, unreliable"
"DECOMPRESSION, SPINE, CERVICAL, POSTERIOR APPROACH",46,69.6%,271,"Prioritize review / high exposure, unreliable"
"EXPLORATION, WOUND",95,69.5%,126,"Prioritize review / high exposure, unreliable"
"FUSION, SPINE, LUMBAR AND LUMBOSACRAL, USING POSTERIOR TECHNIQUE",351,69.2%,287,"Prioritize review / high exposure, unreliable"
"FUSION, SPINE, THORACIC",65,69.2%,308,"Prioritize review / high exposure, unreliable"
"ORIF, FRACTURE, TIBIA",337,69.1%,214,"Prioritize review / high exposure, unreliable"
IR ANGIO PELVIS,42,69.0%,177,"Review variability / low exposure, unreliable"
"LAPAROTOMY, EXPLORATORY, WITH SALPINGO-OOPHORECTOMY",45,68.9%,206,"Review variability / low exposure, unreliable"
"RECONSTRUCTION, PENIS",61,68.9%,161,"Review variability / low exposure, unreliable"
"EXCISION, MASS, HIP",35,68.6%,173,"Review variability / low exposure, unreliable"
"NEPHROLITHOTOMY, PERCUTANEOUS, OR PERCUTANEOUS NEPHROLITHOTRIPSY",105,68.6%,206,"Prioritize review / high exposure, unreliable"
"PLACEMENT, GRAFT, ARTERIOVENOUS",51,68.6%,244,"Review variability / low exposure, unreliable"
"THROMBECTOMY, GRAFT",35,68.6%,202,"Review variability / low exposure, unreliable"
"INTRAMEDULLARY RODDING, FEMUR",41,68.3%,231,"Review variability / low exposure, unreliable"
"LUMPECTOMY, BREAST",41,68.3%,164,"Review variability / low exposure, unreliable"
"ORIF, FRACTURE, MANDIBLE, WITH MAXILLOMANDIBULAR FIXATION",60,68.3%,231,"Prioritize review / high exposure, unreliable"
CESAREAN SECTION,44,68.2%,153,"Prioritize review / high exposure, unreliable"
"ORIF, FRACTURE, RADIUS, DISTAL",66,68.2%,172,"Prioritize review / high exposure, unreliable"
"TRANSPLANT, NEPHRECTOMY, LIVING DONOR, LAPAROSCOPIC",66,68.2%,264,"Review variability / low exposure, unreliable"
ANGIOGRAM,91,68.1%,159,"Prioritize review / high exposure, unreliable"
CABG (CORONARY ARTERY BYPASS GRAFT),416,68.0%,415,"Prioritize review / high exposure, unreliable"
"ORIF, FRACTURE, METACARPAL BONE",34,67.6%,150,"Review variability / low exposure, unreliable"
"ORIF, HAND",34,67.6%,137,"Review variability / low exposure, unreliable"
"ORIF, ELBOW",55,67.3%,227,"Prioritize review / high exposure, unreliable"
"FUSION, SPINE, CERVICAL, POSTERIOR APPROACH",190,66.8%,299,"Prioritize review / high exposure, unreliable"
"ANGIOGRAM, VISCERAL",39,66.7%,203,"Review variability / low exposure, unreliable"
"HYSTERECTOMY, VAGINAL, LAPAROSCOPY-ASSISTED",30,66.7%,281,"Review variability / low exposure, unreliable"
"MYOMECTOMY, UTERUS, ROBOT-ASSISTED, LAPAROSCOPIC",36,66.7%,375,"Review variability / low exposure, unreliable"
"REPAIR, AORTA, THORACIC, ENDOVASCULAR",39,66.7%,214,"Review variability / low exposure, unreliable"
THYROIDECTOMY,39,66.7%,214,"Review variability / low exposure, unreliable"
"ORIF, ANKLE",398,66.3%,190,"Prioritize review / high exposure, unreliable"
"ENDOSCOPY, NASAL",62,66.1%,165,"Review variability / low exposure, unreliable"
