Procedure,Cases (Procedure),% Outside ±30 Min (Procedure),Historical Benchmark (min),Review Context
"CHOLECYSTECTOMY, LAPAROSCOPIC, WITH CHOLANGIOGRAM",200,52.5%,156,"Review exposure / high exposure, reliable"
DA VINCI XI- REPAIR INGUINAL HERNIA,40,52.5%,195,"Monitor / low exposure, reliable"
"ORIF, FINGER",40,52.5%,138,"Monitor / low exposure, reliable"
"EXPLORATION, NECK",149,52.3%,148,"Review exposure / high exposure, reliable"
"ESOPHAGOMYOTOMY, LAPAROSCOPIC, HELLER",33,51.5%,208,"Monitor / low exposure, reliable"
"AV FISTULOGRAM, WITH ANGIOPLASTY IF INDICATED",521,51.4%,120,"Review exposure / high exposure, reliable"
"SINUS SURGERY, ENDOSCOPIC, WITH IMAGING GUIDANCE",35,51.4%,148,"Monitor / low exposure, reliable"
"KERATOPLASTY, PENETRATING",43,51.2%,161,"Monitor / low exposure, reliable"
"COLPORRHAPHY, ANTEROPOSTERIOR, WITH SUSPENSION OF VAGINAL VAULT AND CYSTOSCOPY",47,51.1%,205,"Monitor / low exposure, reliable"
"DECOMPRESSION, SPINE, CERVICAL, ANTERIOR APPROACH",104,51.0%,222,"Review exposure / high exposure, reliable"
"ARTHROPLASTY, KNEE",660,50.9%,211,"Review exposure / high exposure, reliable"
"DEBRIDEMENT, WOUND",440,50.5%,111,"Review exposure / high exposure, reliable"
"DA VINCI XI- PROSTATECTOMY, RADICAL, ROBOT-ASSISTED",441,50.3%,305,"Review exposure / high exposure, reliable"
TRANSURETHRAL RESECTION OF PROSTATE (TURP),213,50.2%,137,"Review exposure / high exposure, reliable"
"GASTROSTOMY, LAPAROSCOPIC",30,50.0%,119,"Monitor / low exposure, reliable"
"IRRIGATION AND DEBRIDEMENT, WOUND",220,50.0%,109,"Review exposure / high exposure, reliable"
SKIN GRAFTING; NON-BURN,40,50.0%,130,"Monitor / low exposure, reliable"
"THROMBECTOMY, AV GRAFT, UPPER EXTREMITY",32,50.0%,162,"Monitor / low exposure, reliable"
"EXAM UNDER ANESTHESIA, GYNECOLOGIC",181,49.7%,92,"Review exposure / high exposure, reliable"
"REPAIR, HERNIA, HIATAL, LAPAROSCOPIC",382,49.7%,163,"Review exposure / high exposure, reliable"
"REMOVAL, ORTHOPEDIC HARDWARE, UPPER EXTREMITY",111,49.5%,107,"Review exposure / high exposure, reliable"
COLPOCLEISIS,57,49.1%,179,"Monitor / low exposure, reliable"
"DA VINCI SI- PROSTATECTOMY, RADICAL, ROBOT-ASSISTED",55,49.1%,309,"Monitor / low exposure, reliable"
"RESECTION, NEOPLASM, BLADDER, CYSTOSCOPIC, TRANSURETHRAL",278,48.9%,107,"Review exposure / high exposure, reliable"
"SALPINGO-OOPHORECTOMY, LAPAROSCOPIC",77,48.1%,138,"Review exposure / high exposure, reliable"
"LAMINOPLASTY, SPINE, CERVICAL, POSTERIOR APPROACH",46,47.8%,252,"Monitor / low exposure, reliable"
"AMPUTATION, FINGER",55,47.3%,113,"Monitor / low exposure, reliable"
"LOBECTOMY, THYROID",106,47.2%,177,"Review exposure / high exposure, reliable"
"REVISION, SHUNT, VENTRICULOPERITONEAL",53,47.2%,156,"Monitor / low exposure, reliable"
"EXCISION, MASS, UPPER EXTREMITY",32,46.9%,99,"Monitor / low exposure, reliable"
"REMOVAL, HARDWARE, SPINE",30,46.7%,167,"Monitor / low exposure, reliable"
"INSERTION, VAGUS NERVE STIMULATOR",69,46.4%,107,"Monitor / low exposure, reliable"
PARATHYROIDECTOMY,218,45.9%,169,"Review exposure / high exposure, reliable"
CYSTOSCOPY,125,45.6%,80,"Review exposure / high exposure, reliable"
"DISCECTOMY, SPINE, CERVICAL, ANTERIOR APPROACH, WITH SPINAL FUSION USING INSTRUMENTATION IF INDICATED",55,45.5%,243,"Monitor / low exposure, reliable"
"HERNIORRHAPHY, INGUINAL, LAPAROSCOPIC",137,45.3%,155,"Review exposure / high exposure, reliable"
EXAM UNDER ANESTHESIA,140,45.0%,85,"Review exposure / high exposure, reliable"
"BRONCHOSCOPY, W ELECTROMAG NAV, ENDOBRONCH US, BIOPSY + FIDUCIAL MARKER PLACE",58,44.8%,134,"Monitor / low exposure, reliable"
"INSERTION, SHUNT, LUMBOPERITONEAL",38,44.7%,160,"Monitor / low exposure, reliable"
"IRRIGATION, WOUND, ABDOMEN",181,44.2%,108,"Review exposure / high exposure, reliable"
"HEMIARTHROPLASTY, HIP",127,44.1%,205,"Review exposure / high exposure, reliable"
"CREATION, COLOSTOMY OR ILEOSTOMY, LAPAROSCOPIC",114,43.9%,145,"Review exposure / high exposure, reliable"
"INSERTION, REMOVAL, OR REVISION, PROSTHESIS, PENILE",69,43.5%,140,"Monitor / low exposure, reliable"
"IRRIGATION AND DEBRIDEMENT, ABSCESS",53,43.4%,97,"Monitor / low exposure, reliable"
"LAMINECTOMY, SPINE, WITH MICRODISCECTOMY",63,42.9%,160,"Monitor / low exposure, reliable"
VITRECTOMY,47,42.6%,122,"Monitor / low exposure, reliable"
"APPLICATION, EXTERNAL FIXATION DEVICE, LOWER EXTREMITY",40,42.5%,109,"Monitor / low exposure, reliable"
"ORCHIECTOMY, RADICAL",33,42.4%,111,"Monitor / low exposure, reliable"
"REMOVAL, INFERIOR VENA CAVAL FILTER",64,42.2%,106,"Monitor / low exposure, reliable"
"CHOLECYSTECTOMY, ROBOT-ASSISTED, LAPAROSCOPIC",50,42.0%,154,"Monitor / low exposure, reliable"
"IRRIGATION AND DEBRIDEMENT, SPINE",50,42.0%,130,"Monitor / low exposure, reliable"
"AMPUTATION, RAY",31,41.9%,92,"Monitor / low exposure, reliable"
"EXTERNAL FIXATION, ANKLE",62,41.9%,106,"Monitor / low exposure, reliable"
"REPAIR, LACRIMAL CANALICULUS",36,41.7%,111,"Monitor / low exposure, reliable"
"HERNIORRHAPHY, INGUINAL",260,41.5%,143,"Review exposure / high exposure, reliable"
"JEJUNOSTOMY, LAPAROSCOPIC",54,40.7%,122,"Monitor / low exposure, reliable"
"IRRIGATION AND DEBRIDEMENT, FOOT",62,40.3%,97,"Monitor / low exposure, reliable"
"EGD, WITH BIOPSY",410,39.8%,67,"Review exposure / high exposure, reliable"
"LAPAROSCOPIC REPAIR, PARAESOPHAGEAL HERNIA",152,39.5%,162,"Review exposure / high exposure, reliable"
"RADIOFREQUENCY ABLATION, VARICOSE VEIN",87,39.1%,127,"Monitor / low exposure, reliable"
"GASTRECTOMY, SLEEVE, LAPAROSCOPIC",216,38.9%,134,"Review exposure / high exposure, reliable"
"AMPUTATION, FOOT, TRANSMETATARSAL",49,38.8%,122,"Monitor / low exposure, reliable"
GI EGD EUS FNA,197,38.6%,80,"Review exposure / high exposure, reliable"
"IMPLANTATION, NEUROSTIMULATOR, SPINAL CORD",44,38.6%,168,"Monitor / low exposure, reliable"
IR NEPHROSTOMY TUBE,127,38.6%,88,"Review exposure / high exposure, reliable"
TRACHEOSTOMY,220,38.6%,116,"Review exposure / high exposure, reliable"
IR ANGIO CEREBRAL DIAGNOSTIC,151,38.4%,94,"Review exposure / high exposure, reliable"
"PLACEMENT, SHUNT, VENTRICULOPERITONEAL",94,38.3%,175,"Monitor / low exposure, reliable"
ORBITOTOMY,45,37.8%,95,"Monitor / low exposure, reliable"
GI ENDOSCOPIC ULTRASOUND GUIDED FINE NEEDLE ASPIRATION,61,37.7%,91,"Monitor / low exposure, reliable"
"INSERTION, TUNNELED CUFFED HEMODIALYSIS CATHETER OR TUNNELED CENTRAL VENOUS CATHETER WITH PORT",69,37.7%,101,"Monitor / low exposure, reliable"
"LARYNGOSCOPY, DIRECT, WITH BIOPSY",202,37.1%,101,"Review exposure / high exposure, reliable"
"IRRIGATION AND DEBRIDEMENT, WOUND, RELATED TO IMPAIRED POSTOPERATIVE HEALING",38,36.8%,92,"Monitor / low exposure, reliable"
"APPLICATION, GRAFT, SKIN, SPLIT-THICKNESS",44,36.4%,123,"Monitor / low exposure, reliable"
"ORIF, FRACTURE, PATELLA",55,36.4%,167,"Monitor / low exposure, reliable"
"CATHETERIZATION, HEART, LEFT, WITH INTERVENTION IF INDICATED",368,36.1%,88,"Review exposure / high exposure, reliable"
"REMOVAL, CATHETER, DIALYSIS, PERITONEAL",53,35.8%,87,"Monitor / low exposure, reliable"
"INSERTION, IMPLANTABLE PULSE GENERATOR AND ELECTRODES OF SACRAL NERVE STIMULATOR",90,35.6%,111,"Monitor / low exposure, reliable"
"ANGIOGRAM, CEREBRAL",141,35.5%,95,"Review exposure / high exposure, reliable"
"LOBECTOMY, BRAIN, TEMPORAL",48,35.4%,228,"Monitor / low exposure, reliable"
"BRONCHOSCOPY, WITH EBUS AND BIOPSY",342,35.1%,119,"Review exposure / high exposure, reliable"
"INSERTION, CATHETER, FOR PERITONEAL DIALYSIS",123,35.0%,128,"Review exposure / high exposure, reliable"
"INCISION AND DRAINAGE, HEAD AND NECK",43,34.9%,101,"Monitor / low exposure, reliable"
"CRANIOTOMY, WITH MICROVASCULAR DECOMPRESSION",32,34.4%,327,"Monitor / low exposure, reliable"
EGD (ESOPHAGOGASTRODUODENOSCOPY),434,32.9%,67,"Review exposure / high exposure, reliable"
"INSERTION, CATHETER, RIGHT HEART",34,32.4%,93,"Monitor / low exposure, reliable"
"EXPLORATION, SCROTUM",53,32.1%,105,"Monitor / low exposure, reliable"
"CRYOTHERAPY, PROSTATE",79,31.6%,174,"Monitor / low exposure, reliable"
"INSERTION, PERIPHERAL NERVE STIMULATOR GENERATOR",61,31.1%,72,"Monitor / low exposure, reliable"
"LAPAROSCOPY, DIAGNOSTIC, WITH ECTOPIC PREGNANCY EXCISION, WITH LAPAROTOMY IF INDICATED",36,30.6%,113,"Monitor / low exposure, reliable"
"EXCISION, LYMPH NODE, CERVICAL",30,30.0%,102,"Monitor / low exposure, reliable"
"PLACEMENT OF STEREOELECTROENCEPHALOGRAPY (SEEG), WITH INTRAOPERATIVE CT",40,30.0%,211,"Monitor / low exposure, reliable"
IR DRAINAGE ABSCESS CYST,61,29.5%,77,"Monitor / low exposure, reliable"
HYSTEROSCOPY,51,29.4%,82,"Monitor / low exposure, reliable"
"TURBT, WITH BLUE LIGHT CYSTOSCOPY AND CYSVIEW",368,29.3%,94,"Review exposure / high exposure, reliable"
"DISCECTOMY, INTERVERTEBRAL, WITH LAMINECTOMY",49,28.6%,162,"Monitor / low exposure, reliable"
"RELEASE, CARPAL TUNNEL",81,28.4%,68,"Monitor / low exposure, reliable"
"EXCISION, VARICOCELE",72,27.8%,119,"Monitor / low exposure, reliable"
"INSERTION, GASTROSTOMY TUBE",36,27.8%,70,"Monitor / low exposure, reliable"
"URETEROSCOPY, NON-STONE",51,27.5%,95,"Monitor / low exposure, reliable"
ERCP (ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY),150,27.3%,92,"Review exposure / high exposure, reliable"
"ECHOCARDIOGRAM, TRANSESOPHAGEAL, INTRAOPERATIVE",59,27.1%,65,"Monitor / low exposure, reliable"
"CYSTOSCOPY, WITH SUPRAPUBIC CATHETER INSERTION",89,27.0%,68,"Review exposure / high exposure, reliable"
"INCISION AND DRAINAGE, ABSCESS, UPPER EXTREMITY",63,27.0%,82,"Monitor / low exposure, reliable"
"COLONOSCOPY, WITH BIOPSY",67,26.9%,70,"Monitor / low exposure, reliable"
"INSERTION, SHUNT, VENTRICULOPERITONEAL, LAPAROSCOPIC, USING COMPUTER-ASSISTED NAVIGATION",108,26.9%,161,"Monitor / low exposure, reliable"
"AMPUTATION, FOOT",30,26.7%,104,"Monitor / low exposure, reliable"
"COLONOSCOPY, DIAGNOSTIC",95,26.3%,67,"Monitor / low exposure, reliable"
"CYSTOURETEROSCOPY, WITH RETROGRADE PYELOGRAM AND URETERAL STENT INSERTION",123,26.0%,73,"Review exposure / high exposure, reliable"
"INCISION AND DRAINAGE, ABSCESS, PERIANAL",35,25.7%,81,"Monitor / low exposure, reliable"
"CYSTOSTOMY, SUPRAPUBIC",36,25.0%,66,"Monitor / low exposure, reliable"
"APPENDECTOMY, LAPAROSCOPIC",531,24.7%,107,"Review exposure / high exposure, reliable"
"AMPUTATION, TOE",199,24.6%,87,"Review exposure / high exposure, reliable"
"EXAM UNDER ANESTHESIA, VAGINA",53,24.5%,76,"Monitor / low exposure, reliable"
"REMOVAL, GASTRIC BAND, LAPAROSCOPIC",41,24.4%,109,"Monitor / low exposure, reliable"
"BIOPSY, LYMPH NODE",33,24.2%,85,"Monitor / low exposure, reliable"
"INSERTION, INTERNAL PULSE GENERATOR, FOR DEEP BRAIN STIMULATION",100,24.0%,117,"Monitor / low exposure, reliable"
CIRCUMCISION,44,22.7%,91,"Monitor / low exposure, reliable"
"REMOVAL, DEPTH ELECTRODE LEADS, INTRACRANIAL",44,22.7%,47,"Monitor / low exposure, reliable"
"BIOPSY, LIVER",45,22.2%,68,"Monitor / low exposure, reliable"
"ASPIRATION, BONE MARROW",41,22.0%,84,"Monitor / low exposure, reliable"
"PLACEMENT, FILTER, INFERIOR VENA CAVA",59,22.0%,93,"Monitor / low exposure, reliable"
"SIGMOIDOSCOPY, FLEXIBLE",35,20.0%,69,"Monitor / low exposure, reliable"
"CYSTOSCOPY, WITH RETROGRADE PYELOGRAM AND URETERAL STENT INSERTION",286,19.9%,70,"Review exposure / high exposure, reliable"
"EXTRACTION, CATARACT, WITH IOL AND GLAUCOMA IMPLANT INSERTION",86,19.8%,111,"Monitor / low exposure, reliable"
GI ENDOSCOPIC ULTRASOUND UPPER,111,19.8%,75,"Monitor / low exposure, reliable"
"EGD, WITH STENT INSERTION",51,19.6%,80,"Monitor / low exposure, reliable"
"REMOVAL, CATHETER, CENTRAL VENOUS, TUNNELED, WITH PORT",46,19.6%,58,"Monitor / low exposure, reliable"
"INSERTION, DRAIN",196,19.4%,69,"Review exposure / high exposure, reliable"
IR CHNG NEPHROSTOMY TUBE,36,19.4%,60,"Monitor / low exposure, reliable"
IR PLCMT IVC FILTER,93,19.4%,77,"Monitor / low exposure, reliable"
"REPLACEMENT, NEUROSTIMULATOR PULSE GENERATOR",31,19.4%,68,"Monitor / low exposure, reliable"
"SALPINGECTOMY, LAPAROSCOPIC",68,19.1%,110,"Monitor / low exposure, reliable"
"CYSTOSCOPY, WITH URETERAL STENT INSERTION",58,19.0%,66,"Monitor / low exposure, reliable"
"LARYNGOSCOPY, DIRECT, WITH ESOPHAGOSCOPY AND BIOPSY",37,18.9%,93,"Monitor / low exposure, reliable"
"EXAM UNDER ANESTHESIA, ANORECTAL",558,18.8%,64,"Review exposure / high exposure, reliable"
IR TUBE CHECK,32,18.8%,56,"Monitor / low exposure, reliable"
"EGD, WITH GASTROJEJUNOSTOMY TUBE INSERTION, PERCUTANEOUS",129,18.6%,67,"Monitor / low exposure, reliable"
"CYSTOSCOPY, WITH URETERAL STENT REPLACEMENT",38,18.4%,76,"Monitor / low exposure, reliable"
IR CT BIOPSY RENAL,33,18.2%,87,"Monitor / low exposure, reliable"
"REPLACEMENT, DEEP BRAIN STIMULATOR GENERATOR OR BATTERY",121,18.2%,85,"Monitor / low exposure, reliable"
"HYSTEROSCOPY, WITH DILATION AND CURETTAGE OF UTERUS",188,17.6%,76,"Review exposure / high exposure, reliable"
IR PLCMT CHEST TUBE,74,17.6%,62,"Monitor / low exposure, reliable"
"INSERTION, PENILE PROSTHESIS",199,16.6%,129,"Review exposure / high exposure, reliable"
"INSERTION, TUNNELED CENTRAL VENOUS DEVICE, WITH PORT",187,16.6%,78,"Review exposure / high exposure, reliable"
IR PLCMT GASTROSTOMY TUBE,142,16.2%,78,"Monitor / low exposure, reliable"
"GASTROSTOMY, PERCUTANEOUS, ENDOSCOPIC",210,15.2%,64,"Review exposure / high exposure, reliable"
HEMORRHOIDECTOMY,48,14.6%,88,"Monitor / low exposure, reliable"
"LOBECTOMY, THYROID, TOTAL",82,14.6%,146,"Monitor / low exposure, reliable"
"DILATION AND EVACUATION, UTERUS",880,14.0%,77,"Review exposure / high exposure, reliable"
IR PLCMT TUNNELED CATH,143,13.3%,73,"Monitor / low exposure, reliable"
IR PARACENTESIS,39,12.8%,48,"Monitor / low exposure, reliable"
"HYSTEROSCOPY, WITH BIOPSY OR POLYPECTOMY",192,12.5%,73,"Monitor / low exposure, reliable"
"LIGATION, FALLOPIAN TUBE, BILATERAL, LAPAROSCOPIC",83,12.0%,109,"Monitor / low exposure, reliable"
THORACENTESIS,92,12.0%,28,"Monitor / low exposure, reliable"
IR US BIOPSY RENAL,35,11.4%,63,"Monitor / low exposure, reliable"
DILATION AND CURETTAGE,320,11.3%,62,"Review exposure / high exposure, reliable"
"CONE BIOPSY, CERVIX",36,11.1%,76,"Monitor / low exposure, reliable"
BRACHYTHERAPY,30,10.0%,74,"Monitor / low exposure, reliable"
"MANIPULATION, JOINT",30,10.0%,42,"Monitor / low exposure, reliable"
"BRONCHOSCOPY, DIAGNOSTIC, WITH LAVAGE IF INDICATED",73,9.6%,33,"Monitor / low exposure, reliable"
IR RENAL BIOPSY,86,9.3%,62,"Monitor / low exposure, reliable"
"EXAM UNDER ANESTHESIA, RECTUM, WITH SETON PLACEMENT",45,8.9%,62,"Monitor / low exposure, reliable"
"BIOPSY, MUSCLE",106,8.5%,70,"Monitor / low exposure, reliable"
"CONE BIOPSY, CERVIX, USING LEEP",80,6.3%,70,"Monitor / low exposure, reliable"
